[2021/10/28 09:13:17] - Namespace(BNeval=True, affix='100exp', attack='pgd', attack_iters=10, batch_size=128, data='cifar100', data_dir='/home/lxb/datasets/cifar10', epochs=100, epsilon=8, fname='result_cvpr_sp1/ResNet18_eps8_bs128_maxlr0.1_wd0.0002_BNeval_100_cifar100_100exp', lr_max=0.1, lr_schedule='piecewise', lrdecay='base', model='ResNet18', norm='l_inf', optimizer='momentum', pgd_alpha=2.0, prefix='cvpr_sp1', restarts=1, resume=0, seed=0, test_epsilon=8, test_pgd_alpha=2, weight_decay=0.0002, width_factor=10)
[2021/10/28 09:13:21] - Epoch 	 lr 	 Train Acc 	 Train Robust Acc 	 Test Acc 	 Test Robust Acc
[2021/10/28 09:19:07] - 1 	 0.1000 	 0.0234 	 0.0173 	 0.0347 	 0.0326
[2021/10/28 09:25:02] - 2 	 0.1000 	 0.0485 	 0.0379 	 0.0479 	 0.0405
[2021/10/28 09:30:57] - 3 	 0.1000 	 0.0746 	 0.0555 	 0.0857 	 0.0657
[2021/10/28 09:36:53] - 4 	 0.1000 	 0.0998 	 0.0704 	 0.0903 	 0.0693
[2021/10/28 09:42:49] - 5 	 0.1000 	 0.1197 	 0.0799 	 0.1184 	 0.0868
[2021/10/28 09:48:46] - 6 	 0.1000 	 0.1469 	 0.0953 	 0.1549 	 0.1046
[2021/10/28 09:54:41] - 7 	 0.1000 	 0.1710 	 0.1070 	 0.1766 	 0.1236
[2021/10/28 10:00:37] - 8 	 0.1000 	 0.1942 	 0.1191 	 0.1919 	 0.1285
[2021/10/28 10:06:34] - 9 	 0.1000 	 0.2178 	 0.1323 	 0.2241 	 0.1464
[2021/10/28 10:12:29] - 10 	 0.1000 	 0.2380 	 0.1427 	 0.2191 	 0.1435
[2021/10/28 10:18:26] - 11 	 0.1000 	 0.2628 	 0.1547 	 0.2469 	 0.1591
[2021/10/28 10:24:23] - 12 	 0.1000 	 0.2794 	 0.1611 	 0.2531 	 0.1607
[2021/10/28 10:30:16] - 13 	 0.1000 	 0.2998 	 0.1705 	 0.2753 	 0.1663
[2021/10/28 10:36:11] - 14 	 0.1000 	 0.3139 	 0.1782 	 0.2619 	 0.1603
[2021/10/28 10:42:06] - 15 	 0.1000 	 0.3308 	 0.1841 	 0.2994 	 0.1809
[2021/10/28 10:48:01] - 16 	 0.1000 	 0.3458 	 0.1916 	 0.3121 	 0.1844
[2021/10/28 10:53:57] - 17 	 0.1000 	 0.3593 	 0.1996 	 0.3225 	 0.1854
[2021/10/28 10:59:54] - 18 	 0.1000 	 0.3714 	 0.2018 	 0.3409 	 0.1969
[2021/10/28 11:05:50] - 19 	 0.1000 	 0.3833 	 0.2095 	 0.3316 	 0.1891
[2021/10/28 11:11:46] - 20 	 0.1000 	 0.3952 	 0.2153 	 0.3691 	 0.2096
[2021/10/28 11:17:42] - 21 	 0.1000 	 0.4028 	 0.2185 	 0.3674 	 0.2051
[2021/10/28 11:23:39] - 22 	 0.1000 	 0.4120 	 0.2227 	 0.3648 	 0.2010
[2021/10/28 11:29:34] - 23 	 0.1000 	 0.4197 	 0.2267 	 0.3855 	 0.2236
[2021/10/28 11:35:30] - 24 	 0.1000 	 0.4339 	 0.2304 	 0.3845 	 0.2129
[2021/10/28 11:41:26] - 25 	 0.1000 	 0.4440 	 0.2374 	 0.3898 	 0.2142
[2021/10/28 11:47:21] - 26 	 0.1000 	 0.4502 	 0.2416 	 0.3877 	 0.2196
[2021/10/28 11:53:16] - 27 	 0.1000 	 0.4593 	 0.2433 	 0.3909 	 0.2083
[2021/10/28 11:59:13] - 28 	 0.1000 	 0.4668 	 0.2490 	 0.4103 	 0.2135
[2021/10/28 12:05:07] - 29 	 0.1000 	 0.4753 	 0.2521 	 0.4230 	 0.2287
[2021/10/28 12:11:00] - 30 	 0.1000 	 0.4848 	 0.2570 	 0.3926 	 0.2165
[2021/10/28 12:16:54] - 31 	 0.1000 	 0.4913 	 0.2602 	 0.4129 	 0.2192
