[2021/10/27 21:54:47] - Namespace(BNeval=True, affix='100exp', attack='pgd', attack_iters=10, batch_size=128, data_dir='cifar10', epochs=100, epsilon=8, fname='result_cvpr_sp1/ResNet18_eps8_bs128_maxlr0.1_wd0.0002_BNeval_100_100exp', lr_max=0.1, lr_schedule='piecewise', lrdecay='base', model='ResNet18', norm='l_inf', optimizer='momentum', pgd_alpha=2.0, prefix='cvpr_sp1', restarts=1, resume=0, seed=0, test_epsilon=8, test_pgd_alpha=2, weight_decay=0.0002, width_factor=10)
[2021/10/27 21:54:50] - Epoch 	 lr 	 Train Acc 	 Train Robust Acc 	 Test Acc 	 Test Robust Acc
[2021/10/27 22:00:37] - 1 	 0.1000 	 0.1554 	 0.1388 	 0.1836 	 0.1586
[2021/10/27 22:06:34] - 2 	 0.1000 	 0.2006 	 0.1758 	 0.2168 	 0.1757
[2021/10/27 22:12:29] - 3 	 0.1000 	 0.2136 	 0.1811 	 0.1980 	 0.1864
[2021/10/27 22:18:26] - 4 	 0.1000 	 0.2258 	 0.1940 	 0.2186 	 0.1982
[2021/10/27 22:24:23] - 5 	 0.1000 	 0.2472 	 0.2089 	 0.2353 	 0.2101
[2021/10/27 22:30:19] - 6 	 0.1000 	 0.2838 	 0.2260 	 0.3037 	 0.2525
[2021/10/27 22:36:16] - 7 	 0.1000 	 0.3229 	 0.2434 	 0.3791 	 0.2758
[2021/10/27 22:42:14] - 8 	 0.1000 	 0.3642 	 0.2647 	 0.4039 	 0.2849
[2021/10/27 22:48:10] - 9 	 0.1000 	 0.3949 	 0.2786 	 0.4367 	 0.3187
[2021/10/27 22:54:06] - 10 	 0.1000 	 0.4270 	 0.2931 	 0.4411 	 0.3021
[2021/10/27 23:00:02] - 11 	 0.1000 	 0.4630 	 0.3138 	 0.4961 	 0.3331
[2021/10/27 23:05:59] - 12 	 0.1000 	 0.4932 	 0.3312 	 0.5101 	 0.3415
[2021/10/27 23:11:55] - 13 	 0.1000 	 0.5194 	 0.3412 	 0.5188 	 0.3576
[2021/10/27 23:17:49] - 14 	 0.1000 	 0.5458 	 0.3572 	 0.5518 	 0.3646
[2021/10/27 23:23:46] - 15 	 0.1000 	 0.5652 	 0.3699 	 0.5493 	 0.3529
[2021/10/27 23:29:43] - 16 	 0.1000 	 0.5860 	 0.3796 	 0.5961 	 0.3667
[2021/10/27 23:35:39] - 17 	 0.1000 	 0.6052 	 0.3886 	 0.6414 	 0.4066
[2021/10/27 23:41:37] - 18 	 0.1000 	 0.6234 	 0.4024 	 0.5708 	 0.3960
[2021/10/27 23:47:33] - 19 	 0.1000 	 0.6334 	 0.4092 	 0.6436 	 0.4131
[2021/10/27 23:53:30] - 20 	 0.1000 	 0.6510 	 0.4181 	 0.5915 	 0.4042
[2021/10/27 23:59:27] - 21 	 0.1000 	 0.6510 	 0.4207 	 0.6648 	 0.4235
[2021/10/28 00:05:23] - 22 	 0.1000 	 0.6697 	 0.4315 	 0.6317 	 0.4141
[2021/10/28 00:11:20] - 23 	 0.1000 	 0.6750 	 0.4344 	 0.6802 	 0.4255
[2021/10/28 00:17:16] - 24 	 0.1000 	 0.6898 	 0.4424 	 0.6085 	 0.4163
[2021/10/28 00:23:13] - 25 	 0.1000 	 0.6928 	 0.4488 	 0.6027 	 0.4200
[2021/10/28 00:29:10] - 26 	 0.1000 	 0.6976 	 0.4483 	 0.6582 	 0.4228
[2021/10/28 00:35:07] - 27 	 0.1000 	 0.7001 	 0.4549 	 0.6843 	 0.4200
[2021/10/28 00:41:04] - 28 	 0.1000 	 0.7062 	 0.4603 	 0.7026 	 0.4242
[2021/10/28 00:47:00] - 29 	 0.1000 	 0.7114 	 0.4634 	 0.6867 	 0.4394
[2021/10/28 00:52:55] - 30 	 0.1000 	 0.7197 	 0.4683 	 0.6458 	 0.4237
[2021/10/28 00:58:52] - 31 	 0.1000 	 0.7225 	 0.4705 	 0.6436 	 0.4240
[2021/10/28 01:04:49] - 32 	 0.1000 	 0.7271 	 0.4727 	 0.6679 	 0.4372
[2021/10/28 01:10:47] - 33 	 0.1000 	 0.7245 	 0.4739 	 0.7267 	 0.4383
[2021/10/28 01:16:43] - 34 	 0.1000 	 0.7323 	 0.4781 	 0.7245 	 0.4441
[2021/10/28 01:22:39] - 35 	 0.1000 	 0.7389 	 0.4819 	 0.7342 	 0.4707
[2021/10/28 01:28:35] - 36 	 0.1000 	 0.7422 	 0.4860 	 0.7074 	 0.4324
[2021/10/28 01:34:31] - 37 	 0.1000 	 0.7422 	 0.4841 	 0.6981 	 0.4369
[2021/10/28 01:40:28] - 38 	 0.1000 	 0.7485 	 0.4887 	 0.6673 	 0.4486
[2021/10/28 01:46:24] - 39 	 0.1000 	 0.7495 	 0.4901 	 0.7169 	 0.4495
[2021/10/28 01:52:21] - 40 	 0.1000 	 0.7521 	 0.4908 	 0.6788 	 0.4200
[2021/10/28 01:58:18] - 41 	 0.1000 	 0.7608 	 0.4956 	 0.6998 	 0.4498
[2021/10/28 02:04:12] - 42 	 0.1000 	 0.7541 	 0.4908 	 0.7559 	 0.4600
[2021/10/28 02:10:09] - 43 	 0.1000 	 0.7558 	 0.4949 	 0.7156 	 0.4558
[2021/10/28 02:16:05] - 44 	 0.1000 	 0.7657 	 0.5011 	 0.7319 	 0.4606
[2021/10/28 02:22:02] - 45 	 0.1000 	 0.7639 	 0.5004 	 0.7136 	 0.4501
[2021/10/28 02:27:58] - 46 	 0.1000 	 0.7668 	 0.5060 	 0.7303 	 0.4502
[2021/10/28 02:33:55] - 47 	 0.1000 	 0.7720 	 0.5084 	 0.7333 	 0.4383
[2021/10/28 02:39:51] - 48 	 0.1000 	 0.7750 	 0.5082 	 0.7302 	 0.4530
[2021/10/28 02:45:48] - 49 	 0.1000 	 0.7751 	 0.5097 	 0.7203 	 0.4481
[2021/10/28 02:51:44] - 50 	 0.1000 	 0.7734 	 0.5093 	 0.7284 	 0.4717
[2021/10/28 02:57:42] - 51 	 0.1000 	 0.7763 	 0.5123 	 0.7020 	 0.4297
[2021/10/28 03:03:38] - 52 	 0.1000 	 0.7781 	 0.5141 	 0.7353 	 0.4590
[2021/10/28 03:09:34] - 53 	 0.1000 	 0.7807 	 0.5142 	 0.7426 	 0.4547
[2021/10/28 03:15:30] - 54 	 0.1000 	 0.7791 	 0.5120 	 0.7184 	 0.4369
[2021/10/28 03:21:27] - 55 	 0.1000 	 0.7820 	 0.5145 	 0.7067 	 0.4245
[2021/10/28 03:27:23] - 56 	 0.1000 	 0.7795 	 0.5153 	 0.7182 	 0.4470
[2021/10/28 03:33:18] - 57 	 0.1000 	 0.7823 	 0.5164 	 0.7338 	 0.4615
[2021/10/28 03:39:14] - 58 	 0.1000 	 0.7888 	 0.5236 	 0.7369 	 0.4480
[2021/10/28 03:45:11] - 59 	 0.1000 	 0.7889 	 0.5178 	 0.7586 	 0.4611
[2021/10/28 03:51:07] - 60 	 0.1000 	 0.7929 	 0.5224 	 0.6699 	 0.4276
[2021/10/28 03:57:03] - 61 	 0.1000 	 0.7821 	 0.5204 	 0.7317 	 0.4522
[2021/10/28 04:03:00] - 62 	 0.1000 	 0.7921 	 0.5250 	 0.7359 	 0.4575
[2021/10/28 04:08:56] - 63 	 0.1000 	 0.7876 	 0.5235 	 0.7280 	 0.4433
[2021/10/28 04:14:52] - 64 	 0.1000 	 0.7943 	 0.5254 	 0.7313 	 0.4472
[2021/10/28 04:20:47] - 65 	 0.1000 	 0.7956 	 0.5263 	 0.7743 	 0.4771
[2021/10/28 04:26:43] - 66 	 0.1000 	 0.8010 	 0.5275 	 0.7360 	 0.4637
[2021/10/28 04:32:40] - 67 	 0.1000 	 0.7980 	 0.5277 	 0.7085 	 0.4528
[2021/10/28 04:38:36] - 68 	 0.1000 	 0.7983 	 0.5288 	 0.7411 	 0.4715
[2021/10/28 04:44:32] - 69 	 0.1000 	 0.7974 	 0.5292 	 0.7435 	 0.4623
[2021/10/28 04:50:26] - 70 	 0.1000 	 0.8008 	 0.5288 	 0.7690 	 0.4780
[2021/10/28 04:56:23] - 71 	 0.1000 	 0.8045 	 0.5333 	 0.6979 	 0.4437
[2021/10/28 05:02:18] - 72 	 0.1000 	 0.7966 	 0.5323 	 0.6675 	 0.4319
[2021/10/28 05:08:15] - 73 	 0.1000 	 0.8030 	 0.5343 	 0.7453 	 0.4497
[2021/10/28 05:14:10] - 74 	 0.1000 	 0.8034 	 0.5297 	 0.7266 	 0.4722
[2021/10/28 05:20:06] - 75 	 0.0100 	 0.8531 	 0.6116 	 0.8075 	 0.5189
[2021/10/28 05:26:02] - 76 	 0.0100 	 0.8695 	 0.6347 	 0.8244 	 0.5200
[2021/10/28 05:31:57] - 77 	 0.0100 	 0.8772 	 0.6409 	 0.8303 	 0.5195
[2021/10/28 05:37:53] - 78 	 0.0100 	 0.8805 	 0.6484 	 0.8179 	 0.5114
[2021/10/28 05:43:48] - 79 	 0.0100 	 0.8854 	 0.6536 	 0.8262 	 0.5099
[2021/10/28 05:49:43] - 80 	 0.0100 	 0.8876 	 0.6577 	 0.8365 	 0.5090
[2021/10/28 05:55:39] - 81 	 0.0100 	 0.8926 	 0.6620 	 0.8207 	 0.5070
[2021/10/28 06:01:36] - 82 	 0.0100 	 0.8954 	 0.6661 	 0.8247 	 0.5097
[2021/10/28 06:07:32] - 83 	 0.0100 	 0.8963 	 0.6708 	 0.8290 	 0.5052
[2021/10/28 06:13:27] - 84 	 0.0100 	 0.9000 	 0.6716 	 0.8218 	 0.5022
[2021/10/28 06:19:23] - 85 	 0.0100 	 0.9015 	 0.6774 	 0.8306 	 0.5064
[2021/10/28 06:25:19] - 86 	 0.0100 	 0.9023 	 0.6776 	 0.8250 	 0.5124
[2021/10/28 06:31:15] - 87 	 0.0100 	 0.9042 	 0.6811 	 0.8342 	 0.4989
[2021/10/28 06:37:10] - 88 	 0.0100 	 0.9084 	 0.6873 	 0.8171 	 0.4946
[2021/10/28 06:43:05] - 89 	 0.0100 	 0.9088 	 0.6865 	 0.8178 	 0.5026
[2021/10/28 06:49:00] - 90 	 0.0010 	 0.9218 	 0.7142 	 0.8381 	 0.5051
[2021/10/28 06:54:55] - 91 	 0.0010 	 0.9237 	 0.7213 	 0.8381 	 0.5024
[2021/10/28 07:00:50] - 92 	 0.0010 	 0.9249 	 0.7248 	 0.8417 	 0.5011
[2021/10/28 07:06:45] - 93 	 0.0010 	 0.9255 	 0.7234 	 0.8397 	 0.5041
[2021/10/28 07:12:42] - 94 	 0.0010 	 0.9263 	 0.7270 	 0.8397 	 0.4981
[2021/10/28 07:18:38] - 95 	 0.0010 	 0.9283 	 0.7278 	 0.8404 	 0.4952
[2021/10/28 07:24:35] - 96 	 0.0010 	 0.9282 	 0.7285 	 0.8381 	 0.5000
[2021/10/28 07:30:31] - 97 	 0.0010 	 0.9290 	 0.7323 	 0.8420 	 0.4994
[2021/10/28 07:36:27] - 98 	 0.0010 	 0.9298 	 0.7316 	 0.8414 	 0.4965
[2021/10/28 07:42:21] - 99 	 0.0010 	 0.9302 	 0.7317 	 0.8408 	 0.4966
[2021/10/28 07:48:16] - 100 	 0.0010 	 0.9307 	 0.7326 	 0.8429 	 0.4968
