[2021/11/08 14:55:32] - Namespace(BNeval=True, affix='awp-10exp', attack='pgd', attack_iters=10, batch_size=128, data='cifar10', data_dir='/home/lxb/datasets/cifar10', epochs=100, epsilon=8, fname='result_cvpr_sp1/ResNet18_eps8_bs128_maxlr0.1_wd0.0002_BNeval_100_cifar10_awp-10exp', lr_max=0.1, lr_schedule='piecewise', lrdecay='base', model='ResNet18', norm='l_inf', optimizer='momentum', pgd_alpha=2.0, prefix='cvpr_sp1', restarts=1, resume=11, seed=0, test_epsilon=8, test_pgd_alpha=2, weight_decay=0.0002, width_factor=10)
[2021/11/08 14:55:37] - resume form ./result_cvpr_sp1/ResNet18_eps8_bs128_maxlr0.1_wd0.0002_BNeval_100_cifar10_awp-base/model_10.pth
[2021/11/08 14:55:37] - Epoch 	 lr 	 Train Acc 	 Train Robust Acc 	 Test Acc 	 Test Robust Acc
[2021/11/08 15:02:22] - 11 	 0.1000 	 0.5900 	 0.3436 	 0.6160 	 0.3870
[2021/11/08 15:09:09] - 12 	 0.1000 	 0.6157 	 0.3566 	 0.5873 	 0.3823
[2021/11/08 15:15:57] - 13 	 0.1000 	 0.6279 	 0.3680 	 0.6238 	 0.4164
[2021/11/08 15:22:44] - 14 	 0.1000 	 0.6391 	 0.3735 	 0.5857 	 0.4035
[2021/11/08 15:29:31] - 15 	 0.1000 	 0.6537 	 0.3835 	 0.6517 	 0.4330
[2021/11/08 15:36:18] - 16 	 0.1000 	 0.6650 	 0.3925 	 0.6711 	 0.4375
[2021/11/08 15:43:05] - 17 	 0.1000 	 0.6706 	 0.3958 	 0.6515 	 0.4177
[2021/11/08 15:49:53] - 18 	 0.1000 	 0.6817 	 0.4029 	 0.6608 	 0.4292
[2021/11/08 15:56:40] - 19 	 0.1000 	 0.6905 	 0.4096 	 0.6750 	 0.4268
[2021/11/08 16:03:27] - 20 	 0.1000 	 0.6947 	 0.4146 	 0.6797 	 0.4474
[2021/11/08 16:10:15] - 21 	 0.1000 	 0.6978 	 0.4149 	 0.6822 	 0.4491
[2021/11/08 16:17:03] - 22 	 0.1000 	 0.7046 	 0.4208 	 0.6515 	 0.4101
[2021/11/08 16:23:49] - 23 	 0.1000 	 0.7127 	 0.4228 	 0.7063 	 0.4601
[2021/11/08 16:30:38] - 24 	 0.1000 	 0.7187 	 0.4259 	 0.7166 	 0.4535
[2021/11/08 16:38:26] - 25 	 0.1000 	 0.7218 	 0.4308 	 0.6999 	 0.4528
[2021/11/08 16:46:41] - 26 	 0.1000 	 0.7269 	 0.4325 	 0.6998 	 0.4616
